Algorithm,Region,ValueHex,PrimeSignature,BitcoinScore,LargestFactor,SampleCount
Single_SHA256,0,0x0,32.9803,1.5,46309,13
Single_SHA256,1,0x20000000,33.2404,1.80769,178037,13
Single_SHA256,2,0x40000000,31.7825,1.09091,2521,11
Single_SHA256,3,0x60000000,39.3147,1.375,8461,8
Single_SHA256,4,0x80000000,30.3442,1.6875,22571,8
Single_SHA256,5,0xa0000000,32.8503,1.83333,1103,24
Single_SHA256,6,0xc0000000,33.7891,2.29167,424273,12
Single_SHA256,7,0xe0000000,32.4866,1.42857,691,7
Double_SHA256,0,0x0,31.8627,1.58333,46309,18
Double_SHA256,1,0x20000000,31.773,1.54545,178037,33
Double_SHA256,2,0x40000000,30.4454,1.17391,25073,23
Double_SHA256,3,0x60000000,35.0358,1.61905,8461,21
Double_SHA256,4,0x80000000,31.2708,1.75,10139431,16
Double_SHA256,5,0xa0000000,33.0421,1.64474,1103,38
Double_SHA256,6,0xc0000000,35.4354,2.15909,424273,22
Double_SHA256,7,0xe0000000,30.7253,1.45238,4170983161,21
BIP39,0,0x0,29.2131,1.51852,653,27
BIP39,1,0x20000000,30.9389,1.41379,8153083,29
BIP39,2,0x40000000,33.5768,1.27778,1215083,18
BIP39,3,0x60000000,30.6586,1.48,1060513,25
BIP39,4,0x80000000,30.7329,1.29167,53859037,24
BIP39,5,0xa0000000,34.7432,1.65217,158277241,23
BIP39,6,0xc0000000,32.7677,1.95,1833527551,30
BIP39,7,0xe0000000,32.7449,1.84375,8783,16
